id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
70,U-70,VIIC,5/30/1938,12/19/1939,11/23/1940,10/12/1940,3/7/1941,Sunk,25,60.15,-14.00,20,"F. Krupp Germaniawerft AG, Kiel",1
71,U-71,VIIC,1/25/1939,12/21/1939,12/14/1940,10/31/1940,2/27/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",5
72,U-72,VIIC,1/25/1939,12/28/1939,1/4/1941,11/22/1940,3/30/1945,Sunk,0,53.08,8.46,0,"F. Krupp Germaniawerft AG, Kiel",0
73,U-73,VIIB,6/2/1938,11/5/1939,9/30/1940,7/27/1940,12/16/1943,Sunk,34,36.07,-0.50,16,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",8
74,U-74,VIIB,6/2/1938,11/5/1939,10/31/1940,8/31/1940,5/2/1942,Sunk,0,37.12,0.01,47,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",4
75,U-75,VIIB,6/2/1938,12/15/1939,12/19/1940,10/18/1940,12/28/1941,Sunk,30,31.50,26.40,14,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",7
76,U-76,VIIB,6/2/1938,12/28/1939,12/3/1940,10/3/1940,4/5/1941,Sunk,42,58.35,-20.20,1,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
77,U-77,VIIC,1/25/1939,3/28/1940,1/18/1941,11/23/1940,3/29/1943,Sunk,9,38.33,0.14,38,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",14
78,U-78,VIIC,1/25/1939,3/28/1940,2/15/1941,12/7/1940,4/16/1945,Sunk,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
79,U-79,VIIC,1/25/1939,4/17/1940,3/13/1941,1/25/1941,12/23/1941,Sunk,44,32.15,25.19,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
80,U-80,VIIC,1/25/1939,4/17/1940,4/8/1941,2/11/1941,11/28/1944,Sunk,0,54.40,19.30,50,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
81,U-81,VIIC,1/25/1939,5/11/1940,4/26/1941,2/22/1941,1/9/1944,Sunk,44,44.52,13.51,2,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",24
82,U-82,VIIC,1/25/1939,5/15/1940,5/14/1941,3/15/1941,2/6/1942,Sunk,0,44.10,-23.52,45,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",8
